NR;MIASTO;ULICA;X;Y;Z;PAR1;PAR2;PAR3;PAR4;PAR5;PAR6
275;GEEL;RIJN;194309,762;206074,119;23,499;12,9;3,7;0,9;5;21,6;25
276;GEEL;RIJN;194338,780;206076,714;23,212;10,3;-0,4;2,2;7;34,6;0
277;GEEL;RIJN;194371,134;206079,258;22,970;12,6;-3,5;1,4;7;34,0;30
278;GEEL;RIJN;194402,094;206082,349;22,762;9,4;-0,9;2,6;6;32,6;20
279;GEEL;RIJN;194432,655;206085,346;22,574;8,6;3,5;3,9;8;22,0;10
280;GEEL;RIJN;194467,455;206089,311;22,329;9,7;0,5;2,7;6;26,0;10
281;GEEL;RIJN;194493,371;206093,137;22,159;10,6;-2,3;0,1;6;28,3;5
282;GEEL;RIJN;194526,343;206096,837;22,290;10,0;1,2;0,4;9;38,6;0
283;GEEL;RIJN;194560,688;206097,477;22,379;11,1;-2,2;3,3;9;37,0;5
284;GEEL;RIJN;194590,324;206100,265;22,529;8,6;3,9;0,2;8;26,6;10
285;GEEL;RIJN;194598,963;206087,028;22,529;10,2;3,4;1,8;9;28,2;25
286;GEEL;RIJN;194629,757;206090,200;22,648;9,0;2,8;0,9;6;33,5;25
287;GEEL;RIJN;194674,129;206093,965;22,785;9,7;2,5;2,0;6;24,3;0
288;GEEL;RIJN;194710,499;206097,736;22,916;12,9;-2,8;2,2;6;30,8;15
289;GEEL;RIJN;194742,714;206100,838;23,003;12,2;-0,4;0,2;6;36,4;25
290;GEEL;RIJN;194787,681;206104,602;23,203;10,4;1,7;2,4;10;24,8;10
291;GEEL;RIJN;194816,838;206107,443;23,318;11,0;2,5;3,9;8;31,1;15
292;GEEL;RIJN;194845,037;206110,319;23,435;10,6;0,5;2,3;8;37,3;5
293;GEEL;RIJN;194880,204;206113,440;23,388;8,6;-2,4;2,1;6;26,8;10
294;GEEL;RIJN;194921,103;206117,618;23,700;8,4;2,7;2,0;6;34,8;10
295;GEEL;RIJN;194961,329;206121,113;23,824;9,0;-0,1;0,1;7;20,9;5
296;GEEL;RIJN;194997,518;206123,987;23,950;11,4;-3,3;2,7;8;20,3;10
297;GEEL;RIJN;195043,530;206128,774;24,112;12,7;1,9;2,0;9;22,3;30
298;GEEL;RIJN;195074,684;206132,357;24,163;9,4;0,3;3,4;9;32,3;0
299;GEEL;RIJN;195107,671;206135,068;24,104;9,3;3,1;3,0;6;20,1;30
300;GEEL;RIJN;195156,601;206139,515;24,350;8,2;-2,6;2,3;5;22,2;10
301;GEEL;RIJN;195182,080;206141,094;24,325;9,4;3,6;3,4;9;24,5;20
302;GEEL;RIJN;195226,533;206145,142;24,236;11,6;1,2;2,9;8;23,0;25
303;GEEL;RIJN;195266,640;206148,935;24,187;8,0;2,8;0,6;6;23,9;25
304;GEEL;RIJN;195299,849;206152,148;24,173;11,4;-2,3;1,8;6;21,4;15
305;GEEL;RIJN;195349,246;206156,554;24,060;9,9;-1,9;0,9;9;21,2;20
306;GEEL;RIJN;195377,709;206158,895;23,960;11,7;1,2;1,1;8;26,9;30
307;GEEL;RIJN;195412,791;206162,419;23,859;12,2;-3,6;3,1;7;22,3;0
308;GEEL;RIJN;195449,602;206165,866;23,769;9,8;-0,8;3,2;9;31,2;5
309;GEEL;RIJN;195492,712;206170,019;23,622;12,9;-3,4;1,6;8;35,2;25
310;GEEL;RIJN;195531,079;206174,026;23,524;9,4;2,6;0,2;6;24,8;15
311;GEEL;RIJN;195564,314;206177,039;23,415;8,1;1,4;1,9;9;21,5;15
312;GEEL;RIJN;195591,359;206179,649;23,367;8,6;-0,4;1,7;8;24,1;15
313;GEEL;RETIESEWEG;196854,927;211453,878;23,612;9,1;3,5;0,7;5;21,5;20
314;GEEL;RETIESEWEG;196667,142;210917,704;22,347;12,8;-3,4;3,8;7;21,2;20
315;GEEL;RETIESEWEG;196286,830;210133,193;23,748;9,4;2,2;3,8;7;28,2;0
316;GEEL;RETIESEWEG;196166,940;209885,390;24,628;9,2;-0,7;1,1;9;27,5;15
317;GEEL;RETIESEWEG;196096,352;209740,102;25,036;12,6;-2,1;3,9;9;38,9;20
318;GEEL;RETIESEWEG;196019,915;209561,855;25,264;11,4;-3,0;0,4;7;23,5;10
319;GEEL;RETIESEWEG;195933,444;209417,844;25,472;12,4;0,0;3,9;6;28,1;15
320;GEEL;RETIESEWEG;195901,753;209338,454;25,562;12,3;-1,6;3,2;8;20,7;0
321;GEEL;RETIESEWEG;195757,683;209041,477;25,693;10,9;-2,0;1,9;9;38,9;15
322;GEEL;RETIESEWEG;195678,813;208878,403;25,600;8,3;-0,2;2,0;8;29,5;30
323;GEEL;RETIESEWEG;195459,973;208426,314;25,742;12,0;0,9;1,7;6;34,6;10
324;GEEL;RETIESEWEG;195345,852;208190,326;26,159;11,0;-0,3;1,2;5;22,8;0
325;GEEL;RETIESEWEG;195257,681;208015,957;25,912;8,0;-2,6;2,3;6;35,7;20
326;GEEL;RETIESEWEG;195138,498;207763,487;25,153;10,0;-0,8;1,1;6;29,6;10
327;GEEL;RETIESEWEG;195069,685;207631,722;24,970;10,4;0,4;3,4;6;39,8;30
328;GEEL;RETIESEWEG;194977,296;207431,060;24,695;10,3;3,0;0,3;9;33,5;10
329;GEEL;RETIESEWEG;194910,379;207293,071;24,567;11,1;-0,3;2,7;9;30,0;5
330;GEEL;RETIESEWEG;194889,819;207251,296;24,612;12,3;-0,9;1,5;9;20,1;20
331;GEEL;RETIESEWEG;194860,450;207190,019;24,730;9,1;3,7;0,7;7;22,9;15
332;GEEL;RETIESEWEG;194826,184;207119,498;24,838;12,0;1,3;1,5;7;35,4;25
333;GEEL;KATERSBERG;193149,140;207886,240;22,959;11,4;3,7;2,2;6;37,6;10
334;GEEL;KATERSBERG;193176,699;207887,958;23,050;9,7;-1,3;0,3;8;39,0;10
335;GEEL;KATERSBERG;193204,103;207889,754;23,142;8,6;-3,8;1,5;7;31,9;20
336;GEEL;KATERSBERG;193231,322;207891,439;23,204;8,5;1,9;1,8;6;30,2;0
337;GEEL;KATERSBERG;193270,470;207893,822;23,312;8,1;-0,5;0,6;6;22,5;30
338;GEEL;KATERSBERG;193275,249;207885,090;23,283;10,5;3,1;3,1;8;25,1;10
339;GEEL;KATERSBERG;193280,324;207894,383;23,272;10,8;1,5;1,9;6;23,1;25
340;GEEL;KATERSBERG;193304,568;207895,943;23,289;10,4;2,5;3,3;8;35,5;20
341;GEEL;KATERSBERG;193334,815;207888,771;23,242;12,0;-0,9;1,3;8;23,9;25
342;GEEL;KATERSBERG;193340,340;207898,094;23,240;10,6;0,3;2,7;9;23,7;25
343;GEEL;KATERSBERG;193374,924;207900,223;23,269;11,9;-0,6;0,6;8;32,8;5
344;GEEL;KATERSBERG;193419,839;207903,045;23,540;12,7;-2,5;0,1;10;21,3;25
345;GEEL;KATERSBERG;193462,249;207895,064;23,691;12,4;1,5;3,1;8;39,3;15
346;GEEL;KATERSBERG;193513,297;207898,321;23,782;11,6;-1,7;3,9;6;26,3;0
347;GEEL;KATERSBERG;193555,666;207901,078;23,893;9,7;3,3;1,1;5;32,7;30
348;GEEL;KATERSBERG;193598,366;207903,650;24,045;8,5;1,3;0,2;7;39,1;15
349;GEEL;KATERSBERG;193643,616;207906,830;23,921;11,9;0,7;3,4;6;36,0;5
350;GEEL;KATERSBERG;193696,609;207909,793;24,090;11,5;-0,4;0,2;10;29,5;20
351;GEEL;KATERSBERG;193739,954;207912,798;24,219;8,7;1,9;1,4;9;33,9;20
352;GEEL;KATERSBERG;193786,401;207915,817;24,165;11,4;1,6;0,0;7;35,5;10
353;GEEL;KATERSBERG;193823,516;207918,639;24,479;12,9;0,6;3,7;5;37,6;0
354;GEEL;KATERSBERG;193865,082;207921,494;24,200;12,1;-0,8;2,4;5;30,1;0
355;GEEL;KATERSBERG;193903,155;207924,116;24,371;12,7;-0,2;3,5;5;20,7;5
356;GEEL;KATERSBERG;193944,567;207927,149;24,489;10,1;1,8;1,9;6;31,2;30
357;GEEL;KATERSBERG;193983,906;207929,964;24,435;12,6;0,1;1,4;7;38,8;25
358;GEEL;KATERSBERG;194024,068;207932,947;24,562;10,0;2,3;0,4;6;29,1;10
359;GEEL;KATERSBERG;194060,723;207935,491;24,547;10,0;-2,3;3,5;7;28,3;25
360;GEEL;KATERSBERG;194104,105;207938,762;24,660;8,8;3,0;1,6;7;35,3;5
361;GEEL;KATERSBERG;194143,885;207941,520;24,769;8,4;-2,1;1,8;7;34,5;10
362;GEEL;KATERSBERG;194176,099;207943,968;24,954;8,4;-3,5;0,1;10;27,0;30
363;GEEL;KATERSBERG;194217,722;207947,530;24,718;8,2;3,6;3,1;6;22,2;20
364;GEEL;KATERSBERG;194257,441;207950,269;24,852;12,7;3,2;1,2;8;22,7;25
365;GEEL;KATERSBERG;194293,417;207952,864;24,947;10,3;0,0;1,0;7;24,8;20
366;GEEL;KATERSBERG;194339,166;207956,333;25,085;8,7;-2,2;2,7;9;33,3;15
367;GEEL;KATERSBERG;194378,864;207958,441;25,028;12,5;1,1;2,2;7;22,1;0
368;GEEL;KATERSBERG;194418,572;207961,271;24,967;11,1;-0,9;0,2;8;36,9;15
369;GEEL;KATERSBERG;194458,395;207964,223;24,996;9,1;-3,8;2,0;9;38,3;30
370;GEEL;KATERSBERG;194498,450;207967,053;25,087;8,0;0,6;2,8;10;31,2;5
371;GEEL;KATERSBERG;194528,806;207969,345;25,182;10,1;-3,7;3,1;5;38,6;20
372;GEEL;KATERSBERG;194566,572;207972,603;25,454;11,3;-3,0;2,3;7;32,6;15
373;GEEL;KATERSBERG;194614,005;207976,144;25,430;10,8;2,9;3,8;6;34,4;5
374;GEEL;KATERSBERG;194657,755;207979,416;25,533;9,9;-0,5;3,0;7;35,7;15
375;GEEL;KATERSBERG;194697,229;207982,410;25,463;11,6;-2,7;3,6;10;32,5;5
376;GEEL;KATERSBERG;194738,779;207985,426;25,381;12,0;-1,8;3,9;10;30,3;25
377;GEEL;KATERSBERG;194776,954;207988,352;25,303;10,9;1,3;0,2;5;23,0;30
378;GEEL;KATERSBERG;194815,998;207991,125;25,257;10,9;-0,2;3,5;5;20,1;10
379;GEEL;KATERSBERG;194859,097;207993,352;25,154;11,5;2,9;0,2;10;25,9;20
380;GEEL;KATERSBERG;194901,556;207994,443;25,185;8,4;-0,3;0,8;8;34,8;0
381;GEEL;KATERSBERG;194940,756;207995,240;25,166;12,3;0,8;3,8;7;23,8;15
382;GEEL;KATERSBERG;194981,201;207996,239;25,154;8,3;-1,9;3,2;6;33,9;15
383;GEEL;KATERSBERG;195018,942;207997,075;25,231;9,5;4,0;0,9;7;22,4;25
384;GEEL;KATERSBERG;195061,319;207997,969;25,330;8,3;2,7;1,5;10;34,6;5
385;GEEL;KATERSBERG;195103,201;207999,157;25,431;12,8;-0,5;0,1;10;25,4;10
386;GEEL;KATERSBERG;195133,109;207999,702;25,528;8,4;-0,5;0,5;6;38,7;25
387;GEEL;KATERSBERG;195172,631;208000,539;25,656;12,5;-3,3;3,4;5;22,9;20
388;GEEL;KATERSBERG;195209,448;208001,444;25,761;8,8;-3,2;0,3;8;27,3;10
389;GEEL;KATERSBERG;195242,723;208002,128;25,956;8,6;0,6;1,4;9;23,1;15
390;GEEL;KAPELSTRAAT;193169,900;207584,181;24,002;10,9;-2,8;2,4;6;20,6;10
391;GEEL;KAPELSTRAAT;193130,711;207562,655;23,716;9,9;3,8;2,3;8;26,4;20
392;GEEL;KAPELSTRAAT;193095,829;207543,241;23,656;12,5;-3,5;1,9;6;32,1;25
393;GEEL;KAPELSTRAAT;193064,755;207526,169;23,699;10,8;1,7;0,5;5;26,5;25
394;GEEL;KAPELSTRAAT;193017,933;207500,455;23,626;11,3;-0,8;3,8;8;20,9;20
395;GEEL;KAPELSTRAAT;192984,093;207481,689;23,584;9,4;-0,5;3,5;8;32,5;20
396;GEEL;HOLVEN;193301,260;206719,258;23,723;11,7;-2,0;2,5;6;33,1;20
397;GEEL;HOLVEN;193273,310;206722,768;23,634;8,1;-2,0;0,2;7;26,0;30
398;GEEL;HOLVEN;193241,941;206758,448;23,289;11,8;-3,4;1,7;7;37,5;5
399;GEEL;HOLVEN;193214,058;206794,365;23,221;9,5;0,9;1,9;8;38,4;25
400;GEEL;HOLVEN;193188,011;206825,536;23,165;9,8;-0,8;0,9;7;33,0;15
401;GEEL;HOLVEN;193164,738;206852,900;23,125;11,2;-1,7;1,7;10;24,7;10
402;GEEL;HOLVEN;193136,944;206888,555;23,118;10,5;3,0;2,6;10;33,3;25
403;GEEL;HOLVEN;193109,747;206923,578;23,148;9,6;-0,5;2,1;7;28,6;5
404;GEEL;HOLVEN;193083,501;206956,375;23,053;12,1;-2,4;0,8;7;35,5;0
405;GEEL;HOLVEN;193054,033;206985,689;22,918;10,0;-1,8;3,4;8;32,8;5
406;GEEL;HOLVEN;193029,105;207017,256;22,907;8,2;0,4;2,2;10;35,0;5
407;GEEL;HOLVEN;193015,531;207051,672;22,943;11,6;2,4;3,9;9;36,3;10
408;GEEL;HOLVEN;192999,169;207098,198;22,990;8,5;-1,1;1,1;5;37,3;15
409;GEEL;HOLVEN;192989,306;207134,330;23,144;10,2;1,8;2,6;5;33,8;10
410;GEEL;HOLVEN;192983,557;207164,247;23,312;9,0;1,0;3,5;7;38,7;5
411;GEEL;HOLVEN;192979,317;207204,488;23,291;11,5;-0,4;0,0;8;39,9;10
412;GEEL;HOLVEN;192979,631;207250,691;23,340;11,8;-2,0;4,0;7;37,6;5
413;GEEL;HOLVEN;192981,447;207292,193;23,340;9,9;-1,9;1,8;10;38,7;5
414;GEEL;HOLVEN;192982,056;207333,950;23,355;9,6;-2,3;0,3;7;33,8;10
415;GEEL;HOLVEN;192980,597;207378,296;23,423;8,5;-3,8;0,7;8;20,3;15
416;GEEL;HOLVEN;192977,272;207417,056;23,515;11,1;0,1;1,4;7;21,2;15
417;GEEL;HOLVEN;192972,944;207460,084;23,688;10,2;-1,5;1,6;9;31,3;0
418;GEEL;HOLVEN;192962,766;207500,118;23,503;9,1;3,3;3,0;8;36,0;20
419;GEEL;HOLVEN;192951,430;207540,422;23,424;10,4;-3,8;1,9;6;39,8;5
420;GEEL;HOLVEN;192938,983;207585,102;23,346;10,9;1,0;3,4;8;30,4;5
421;GEEL;HOLVEN;192928,931;207622,284;23,253;8,0;-1,9;3,3;9;39,4;10
422;GEEL;HOLVEN;192917,886;207663,988;23,304;9,4;3,4;1,5;8;23,1;25
423;GEEL;HOLVEN;192890,363;207753,267;22,801;12,6;3,0;0,5;6;36,1;10
424;GEEL;HOLVEN;192877,050;207797,762;22,675;12,3;-2,2;2,8;6;33,6;15
425;GEEL;HOLVEN;192858,762;207862,945;22,435;8,4;-1,5;1,3;10;22,0;25
426;GEEL;HOLVEN;192848,993;207940,898;21,920;8,0;-3,2;2,2;5;25,2;20
427;GEEL;HOLVEN;192838,378;208031,496;21,560;11,1;0,8;3,7;9;21,5;15
428;GEEL;HOLVEN;192832,722;208077,393;21,354;11,7;0,2;2,6;5;21,5;25
429;GEEL;HOLVEN;192817,420;208156,973;21,197;10,4;2,4;1,8;7;27,9;20
430;GEEL;DR.-VAN DE PERRESTRAAT;193077,600;208265,438;21,440;8,3;1,5;4,0;7;21,4;10
431;GEEL;DR.-VAN DE PERRESTRAAT;193084,250;208226,262;21,601;12,8;-0,4;0,1;10;36,2;10
432;GEEL;DR.-VAN DE PERRESTRAAT;193092,197;208179,462;21,773;10,9;1,2;0,4;9;24,5;10
433;GEEL;DR.-VAN DE PERRESTRAAT;193098,598;208141,137;21,954;11,4;-0,2;1,7;7;25,9;25
434;GEEL;DR.-VAN DE PERRESTRAAT;193105,194;208102,769;22,146;10,6;-0,3;2,5;6;28,5;30
435;GEEL;DR.-VAN DE PERRESTRAAT;193112,895;208058,188;22,329;11,7;0,9;0,6;9;20,5;15
436;GEEL;DR.-VAN DE PERRESTRAAT;193119,282;208020,601;22,500;8,5;-2,1;0,6;8;30,0;0
437;GEEL;DR.-VAN DE PERRESTRAAT;193126,425;207978,376;22,665;10,2;-2,6;1,2;9;33,4;0
438;GEEL;DR.-VAN DE PERRESTRAAT;193134,805;207928,518;22,914;9,4;1,4;0,8;8;37,0;0
439;GEEL;DR.-VAN DE PERRESTRAAT;193140,340;207896,275;23,084;10,5;-1,8;0,9;6;35,3;30
440;GEEL;DR.-VAN DE PERRESTRAAT;193147,729;207853,178;23,315;12,1;-3,7;0,2;6;34,5;20
441;GEEL;DR.-VAN DE PERRESTRAAT;193151,393;207810,665;23,188;10,3;-1,1;2,7;10;23,0;0
442;GEEL;DR.-VAN DE PERRESTRAAT;193159,154;207764,372;23,266;11,5;2,7;1,7;9;32,1;25
443;GEEL;DR.-VAN DE PERRESTRAAT;193172,249;207686,059;23,567;10,6;-2,7;1,9;6;26,7;0
444;GEEL;DR.-VAN DE PERRESTRAAT;193181,741;207630,247;23,760;11,9;-1,5;3,1;8;29,4;15
445;GEEL;DR.-VAN DE PERRESTRAAT;193187,890;207595,542;23,909;12,9;1,4;0,8;7;31,7;25
446;GEEL;DR.-VAN DE PERRESTRAAT;193194,661;207555,541;24,132;12,4;1,4;2,3;7;38,4;10
447;GEEL;DR.-VAN DE PERRESTRAAT;193202,987;207508,309;24,265;12,7;1,7;0,0;7;36,2;30
448;GEEL;DR.-VAN DE PERRESTRAAT;193211,084;207458,733;24,430;12,9;-1,5;0,4;7;35,1;5
449;GEEL;DR.-VAN DE PERRESTRAAT;193215,763;207431,045;24,457;9,0;-2,5;0,7;7;24,0;30
450;GEEL;DR.-VAN DE PERRESTRAAT;193224,676;207378,739;24,424;9,4;2,7;0,9;6;34,9;5
451;GEEL;DR.-VAN DE PERRESTRAAT;193232,031;207336,020;24,330;12,7;1,1;3,6;7;38,2;15
452;GEEL;DR.-VAN DE PERRESTRAAT;193238,840;207295,915;24,256;9,1;3,7;2,6;8;38,1;15
453;GEEL;DR.-VAN DE PERRESTRAAT;193246,192;207252,216;24,218;11,4;2,9;0,5;9;24,3;5
454;GEEL;DR.-VAN DE PERRESTRAAT;193254,031;207209,235;24,195;12,0;0,4;2,8;7;30,3;5
455;GEEL;DR.-VAN DE PERRESTRAAT;193260,328;207171,444;24,157;12,3;-1,3;1,5;9;36,7;25
456;GEEL;DR.-VAN DE PERRESTRAAT;193268,204;207125,575;24,125;11,1;2,1;2,2;8;21,5;10
457;GEEL;DR.-VAN DE PERRESTRAAT;193274,845;207085,878;24,076;8,3;1,2;0,6;5;25,4;25
458;GEEL;DR.-VAN DE PERRESTRAAT;193282,058;207044,257;24,016;11,4;1,0;2,7;8;24,1;20
459;GEEL;DR.-VAN DE PERRESTRAAT;193288,531;207006,697;23,965;9,7;3,1;1,5;6;32,1;0
460;GEEL;DR.-VAN DE PERRESTRAAT;193294,862;206969,326;23,933;11,3;1,5;1,4;8;30,4;5
461;GEEL;DR.-VAN DE PERRESTRAAT;193302,643;206923,146;23,885;9,3;-0,7;3,9;9;23,5;25
462;GEEL;DR.-VAN DE PERRESTRAAT;193309,142;206884,194;23,827;11,0;-0,3;0,4;9;37,5;20
463;GEEL;DR.-VAN DE PERRESTRAAT;193317,781;206835,088;23,789;12,8;2,8;1,0;5;23,4;25
464;GEEL;DR.-VAN DE PERRESTRAAT;193324,892;206789,943;23,723;10,2;1,0;1,4;10;20,9;15
465;GEEL;DR.-VAN DE PERRESTRAAT;193332,044;206747,725;23,797;12,2;0,2;2,1;10;33,4;30
466;GEEL;DR.-VAN DE PERRESTRAAT;192893,363;210277,028;26,884;11,1;-1,6;2,2;5;32,2;15
467;GEEL;DR.-VAN DE PERRESTRAAT;192901,717;210245,107;25,906;11,3;-0,9;3,0;8;34,7;10
468;GEEL;DR.-VAN DE PERRESTRAAT;192908,476;210212,771;24,709;9,2;1,3;0,5;9;21,3;15
469;GEEL;DR.-VAN DE PERRESTRAAT;192913,048;210180,629;23,469;8,1;1,4;3,1;7;35,3;5
470;GEEL;DR.-VAN DE PERRESTRAAT;192915,772;210147,909;22,428;12,6;-2,8;1,3;9;28,9;15
471;GEEL;DR.-VAN DE PERRESTRAAT;192916,512;210114,943;21,606;10,0;-3,7;1,5;7;31,2;20
472;GEEL;DR.-VAN DE PERRESTRAAT;192914,365;210082,426;20,968;12,9;-0,2;3,8;8;29,5;25
473;GEEL;DR.-VAN DE PERRESTRAAT;192910,287;210049,573;20,425;10,9;-0,2;1,9;6;22,4;0
474;GEEL;DR.-VAN DE PERRESTRAAT;192903,798;210017,453;20,046;8,9;1,0;3,4;7;22,2;15
475;GEEL;DR.-VAN DE PERRESTRAAT;192896,919;209984,910;19,744;11,7;3,6;3,9;7;28,8;10
476;GEEL;DR.-VAN DE PERRESTRAAT;192885,664;209952,778;19,610;10,8;0,4;1,0;6;34,1;25
477;GEEL;DR.-VAN DE PERRESTRAAT;192872,548;209921,413;19,569;13,0;3,8;3,2;10;27,5;5
478;GEEL;DR.-VAN DE PERRESTRAAT;192858,949;209890,162;19,486;12,1;2,4;2,8;10;39,1;10
479;GEEL;DR.-VAN DE PERRESTRAAT;192847,458;209858,254;19,458;9,0;1,2;3,6;10;20,3;15
480;GEEL;DR.-VAN DE PERRESTRAAT;192838,068;209825,561;19,502;11,4;-1,6;1,8;7;37,4;25
481;GEEL;DR.-VAN DE PERRESTRAAT;192830,980;209793,196;19,502;9,7;-0,2;3,2;6;39,9;5
482;GEEL;DR.-VAN DE PERRESTRAAT;192825,167;209760,797;19,652;12,3;1,7;0,3;8;23,2;30
483;GEEL;DR.-VAN DE PERRESTRAAT;192822,434;209720,405;19,535;12,3;1,7;0,3;6;34,9;15
484;GEEL;DR.-VAN DE PERRESTRAAT;192822,525;209685,340;19,546;8,2;-0,9;2,5;10;37,7;15
485;GEEL;DR.-VAN DE PERRESTRAAT;192825,066;209650,398;19,560;12,4;1,4;1,4;10;37,3;10
486;GEEL;DR.-VAN DE PERRESTRAAT;192842,322;209617,158;19,580;9,3;-4,0;2,6;7;27,6;10
487;GEEL;DR.-VAN DE PERRESTRAAT;192847,135;209587,649;19,541;8,3;1,2;0,4;9;30,4;20
488;GEEL;DR.-VAN DE PERRESTRAAT;192852,719;209556,316;19,505;9,0;-0,6;1,1;5;29,8;30
489;GEEL;DR.-VAN DE PERRESTRAAT;192857,798;209526,651;19,462;13,0;1,9;1,6;7;23,7;15
490;GEEL;DR.-VAN DE PERRESTRAAT;192863,523;209492,777;19,412;11,1;0,4;3,2;5;36,7;15
491;GEEL;DR.-VAN DE PERRESTRAAT;192868,844;209461,178;19,367;10,0;2,1;3,2;8;21,4;15
492;GEEL;DR.-VAN DE PERRESTRAAT;192874,167;209430,636;19,351;8,1;-2,4;0,5;8;25,5;20
493;GEEL;DR.-VAN DE PERRESTRAAT;192879,858;209331,322;19,293;12,2;1,4;3,6;9;21,0;0
494;GEEL;DR.-VAN DE PERRESTRAAT;192893,268;209252,307;19,213;11,2;-2,8;0,2;6;31,0;5
495;GEEL;DR.-VAN DE PERRESTRAAT;192906,094;209176,943;19,156;9,6;-3,7;0,9;8;35,7;15
496;GEEL;DR.-VAN DE PERRESTRAAT;192918,511;209103,239;19,130;8,2;-2,6;0,2;5;37,1;5
497;GEEL;DR.-VAN DE PERRESTRAAT;192934,721;209008,822;19,253;11,3;-1,3;1,9;8;21,2;5
498;GEEL;DR.-VAN DE PERRESTRAAT;192949,662;208921,149;19,415;9,8;-2,4;3,4;7;22,3;30
499;GEEL;DR.-VAN DE PERRESTRAAT;192963,166;208841,218;19,559;10,1;0,4;0,6;7;24,7;25
500;GEEL;DR.-VAN DE PERRESTRAAT;192976,881;208760,488;19,754;8,3;-3,6;3,9;6;23,2;30
501;GEEL;DR.-VAN DE PERRESTRAAT;192989,107;208689,104;19,964;8,9;1,5;2,8;6;23,1;10
502;GEEL;DR.-VAN DE PERRESTRAAT;193001,751;208611,264;20,267;11,4;2,2;3,7;8;20,1;25
503;GEEL;DR.-VAN DE PERRESTRAAT;193017,297;208523,294;20,582;12,5;3,3;1,5;8;22,3;0
504;GEEL;DR.-VAN DE PERRESTRAAT;193023,732;208438,447;20,849;10,0;2,0;0,2;9;37,2;0
505;GEEL;DR.-VAN DE PERRESTRAAT;193038,550;208397,171;20,969;9,6;3,2;3,5;8;33,6;15
506;GEEL;DR.-VAN DE PERRESTRAAT;193044,198;208364,839;21,053;8,7;-3,4;0,6;7;24,1;25
507;GEEL;DR.-VAN DE PERRESTRAAT;193045,348;208320,758;21,166;8,7;-0,2;3,5;7;36,8;5
508;GEEL;DR.-VAN DE PERRESTRAAT;193051,308;208280,885;21,373;9,7;-2,0;3,6;7;26,9;5
509;GEEL;DR.-VAN DE PERRESTRAAT;193166,726;207716,476;23,458;11,9;-0,5;3,2;9;33,5;15
510;GEEL;DROSSAARDSHOEVEDREEF;192536,854;210921,273;17,851;9,9;-3,1;0,7;10;31,6;25
511;GEEL;DROSSAARDSHOEVEDREEF;192429,574;210873,301;17,828;9,0;-3,3;0,9;8;21,5;15
512;GEEL;DROSSAARDSHOEVEDREEF;192329,458;210828,691;17,767;10,9;-0,2;3,3;6;34,0;10
513;GEEL;DROSSAARDSHOEVEDREEF;191829,679;210606,159;17,297;12,2;-0,4;1,1;8;36,2;5
514;GEEL;TURNHOUTSEWEG;192508,764;211601,426;16,441;10,7;1,6;1,2;6;33,4;10
515;GEEL;TURNHOUTSEWEG;192513,921;211569,982;16,488;11,7;1,8;0,6;10;31,0;15
516;GEEL;TURNHOUTSEWEG;192518,637;211540,219;16,536;9,4;0,5;3,2;5;37,7;25
517;GEEL;TURNHOUTSEWEG;192581,223;211189,011;17,261;8,2;-2,8;2,4;5;28,3;30
518;GEEL;TURNHOUTSEWEG;192587,969;211111,666;17,526;10,1;3,2;0,2;10;22,3;10
519;GEEL;TURNHOUTSEWEG;192593,849;211076,896;17,634;10,9;1,2;2,1;6;20,2;0
520;GEEL;TURNHOUTSEWEG;192599,278;211044,379;17,756;12,4;4,0;3,0;8;38,0;30
521;GEEL;TURNHOUTSEWEG;192605,171;211011,140;17,864;11,2;-1,2;3,9;5;31,1;10
522;GEEL;TURNHOUTSEWEG;192610,792;210979,721;17,942;9,9;0,2;0,5;9;38,8;10
523;GEEL;TURNHOUTSEWEG;192605,213;210941,679;18,026;12,9;1,0;3,6;8;33,2;5
524;GEEL;TURNHOUTSEWEG;192613,028;210909,320;18,095;11,2;1,1;3,4;10;20,6;10
525;GEEL;TURNHOUTSEWEG;192623,033;210875,903;18,273;10,1;2,0;3,0;6;23,8;5
526;GEEL;TURNHOUTSEWEG;192639,315;210843,543;18,377;12,6;3,7;3,8;5;36,4;10
527;GEEL;TURNHOUTSEWEG;192656,906;210813,400;18,409;10,8;1,0;1,2;9;33,2;0
528;GEEL;TURNHOUTSEWEG;192676,307;210784,134;18,435;10,9;3,6;2,0;7;34,3;10
529;GEEL;TURNHOUTSEWEG;192695,859;210755,137;18,603;11,2;2,9;2,2;7;28,7;5
530;GEEL;TURNHOUTSEWEG;192714,572;210726,088;18,713;10,9;-2,5;0,6;6;29,4;5
531;GEEL;TURNHOUTSEWEG;192732,588;210696,075;18,851;11,6;-3,5;1,9;5;28,7;25
532;GEEL;TURNHOUTSEWEG;192747,523;210664,574;18,978;8,8;2,7;1,9;8;35,1;20
533;GEEL;TURNHOUTSEWEG;192761,285;210632,455;19,155;10,5;-2,0;1,6;6;39,5;10
534;GEEL;TURNHOUTSEWEG;192776,597;210601,431;19,406;9,9;1,2;1,2;8;25,9;15
535;GEEL;TURNHOUTSEWEG;192790,902;210568,312;19,959;9,5;-3,3;3,6;7;23,7;25
536;GEEL;TURNHOUTSEWEG;192805,194;210536,426;20,910;12,3;1,2;2,0;10;36,6;10
537;GEEL;TURNHOUTSEWEG;192818,674;210504,263;21,928;10,7;2,7;3,3;9;24,5;30
